1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
;;;;;;;;;;;;;;;
;;;AU per cluster 2026;;;;;;;;;;;;
;;;;;;;;;;;;;;;
CBS;Naam;Prov;Sociale basisvoorzieningen;Participatie;Individuele voorzieningen Wmo;Individuele voorzieningen Jeugd;Bestuur en ondersteuning;Orde en veiligheid;Onderwijs;Sport, cultuur en recreatie;Infrastructuur, ruimte en milieu;Overig;Overige eigen middelen;Onroerendezaakbelasting;Totaal
1859;Berkelland;5; 10.439.539 ; 7.825.871 ; 15.525.666 ; 20.916.099 ; 17.061.808 ; 5.634.005 ; 7.545.371 ; 12.141.544 ; 19.024.972 ; -1.102.135 ; -7.798.388 ; -12.167.802 ; 95.046.551 
209;Beuningen;5; 6.463.116 ; 4.542.690 ; 6.237.650 ; 10.715.845 ; 10.617.938 ; 3.534.686 ; 3.086.522 ; 7.243.623 ; 7.642.706 ; 472.521 ; -4.749.848 ; -6.329.796 ; 49.477.653 
1876;Bronckhorst;5; 7.978.585 ; 4.659.998 ; 12.052.604 ; 14.278.202 ; 14.110.242 ; 4.629.465 ; 4.288.367 ; 8.879.177 ; 15.922.560 ; -00 ; -6.394.688 ; -10.327.791 ; 70.076.720 
213;Brummen;5; 5.085.393 ; 3.709.724 ; 7.182.522 ; 8.839.386 ; 8.759.024 ; 2.880.337 ; 2.687.494 ; 5.522.315 ; 7.395.190 ; 140.761 ; -3.798.955 ; -5.380.476 ; 43.022.714 
214;Buren;5; 6.023.619 ; 2.848.616 ; 6.551.700 ; 9.746.783 ; 10.942.206 ; 3.703.883 ; 3.324.880 ; 6.676.466 ; 11.830.830 ; -246.502 ; -4.968.083 ; -7.259.134 ; 49.175.265 
216;Culemborg;5; 8.412.232 ; 5.404.127 ; 7.549.692 ; 12.663.795 ; 11.988.295 ; 4.625.776 ; 6.107.218 ; 9.842.704 ; 9.966.330 ; 239.331 ; -5.377.029 ; -7.864.781 ; 63.557.689 
221;Doesburg;5; 2.816.050 ; 3.101.682 ; 4.546.886 ; 6.626.756 ; 4.940.852 ; 1.800.435 ; 1.300.857 ; 3.659.459 ; 3.667.196 ; 1.208.209 ; -1.975.478 ; -2.396.524 ; 29.296.379 
222;Doetinchem;5; 16.796.747 ; 15.199.285 ; 19.990.198 ; 32.243.920 ; 23.080.928 ; 8.462.984 ; 12.263.277 ; 21.349.105 ; 17.575.105 ; 391.334 ; -10.662.964 ; -14.919.103 ; 141.770.816 
225;Druten;5; 4.791.333 ; 3.473.708 ; 5.069.007 ; 8.397.478 ; 8.066.108 ; 2.747.983 ; 3.292.953 ; 5.359.096 ; 6.252.255 ; 1.638.529 ; -3.506.673 ; -4.800.047 ; 40.781.729 
226;Duiven;5; 6.453.102 ; 4.746.508 ; 6.644.314 ; 11.203.136 ; 9.954.052 ; 3.250.769 ; 3.541.638 ; 7.495.765 ; 7.843.224 ; -00 ; -4.428.977 ; -7.526.911 ; 49.176.619 
228;Ede;5; 35.960.540 ; 20.658.989 ; 35.360.915 ; 54.808.265 ; 46.774.527 ; 17.893.388 ; 20.911.335 ; 44.672.891 ; 37.271.582 ; -00 ; -22.056.810 ; -36.790.742 ; 255.464.881 
230;Elburg;5; 5.567.359 ; 3.487.973 ; 6.788.084 ; 11.104.115 ; 9.526.902 ; 2.959.780 ; 3.904.307 ; 6.685.105 ; 7.051.841 ; 804.775 ; -4.244.481 ; -6.133.440 ; 47.502.320 
232;Epe;5; 8.118.220 ; 5.210.611 ; 12.206.183 ; 15.721.092 ; 13.194.908 ; 4.538.184 ; 4.805.135 ; 9.105.075 ; 11.619.871 ; -00 ; -5.943.125 ; -9.460.562 ; 69.115.593 
